AI1, AI2, map, fitness
CMAESMCTS, RandomAI, maps/8x8/basesWorkers8x8A.xml, -11.168
CMAESMCTS, RandomAI, maps/16x16/basesWorkers16x16A.xml, -13.392
CMAESMCTS, RandomAI, maps/BWDistantResources32x32.xml, -11.61
CMAESMCTS, RandomAI, maps/BroodWar/(4)BloodBath.scmB.xml, -9.828
CMAESMCTS, RandomAI, maps/8x8/FourBasesWorkers8x8.xml, -10.426
CMAESMCTS, RandomAI, maps/16x16/TwoBasesBarracks16x16.xml, -12.256
CMAESMCTS, RandomAI, maps/NoWhereToRun9x8.xml, -15.200000000000001
CMAESMCTS, RandomAI, maps/DoubleGame24x24.xml, -14.004000000000001
CMAESMCTS, RandomBiasedAI, maps/8x8/basesWorkers8x8A.xml, -5.279999999999999
CMAESMCTS, RandomBiasedAI, maps/16x16/basesWorkers16x16A.xml, -9.94
CMAESMCTS, RandomBiasedAI, maps/BWDistantResources32x32.xml, -9.689999999999998
CMAESMCTS, RandomBiasedAI, maps/BroodWar/(4)BloodBath.scmB.xml, -11.22
CMAESMCTS, RandomBiasedAI, maps/8x8/FourBasesWorkers8x8.xml, -11.172
CMAESMCTS, RandomBiasedAI, maps/16x16/TwoBasesBarracks16x16.xml, -13.696000000000002
CMAESMCTS, RandomBiasedAI, maps/NoWhereToRun9x8.xml, -8.352
CMAESMCTS, RandomBiasedAI, maps/DoubleGame24x24.xml, -11.370000000000001
CMAESMCTS, MonteCarlo, maps/8x8/basesWorkers8x8A.xml, -6.8999999999999995
CMAESMCTS, MonteCarlo, maps/16x16/basesWorkers16x16A.xml, 0.0
CMAESMCTS, MonteCarlo, maps/BWDistantResources32x32.xml, -8.995999999999999
CMAESMCTS, MonteCarlo, maps/BroodWar/(4)BloodBath.scmB.xml, 1.416
CMAESMCTS, MonteCarlo, maps/8x8/FourBasesWorkers8x8.xml, 0.18200000000000016
CMAESMCTS, MonteCarlo, maps/16x16/TwoBasesBarracks16x16.xml, -9.49
CMAESMCTS, MonteCarlo, maps/NoWhereToRun9x8.xml, 8.866
CMAESMCTS, MonteCarlo, maps/DoubleGame24x24.xml, 9.043999999999999
CMAESMCTS, WorkerRush, maps/8x8/basesWorkers8x8A.xml, 10.68
CMAESMCTS, WorkerRush, maps/16x16/basesWorkers16x16A.xml, 0.0
CMAESMCTS, WorkerRush, maps/BWDistantResources32x32.xml, 0.0
CMAESMCTS, WorkerRush, maps/BroodWar/(4)BloodBath.scmB.xml, 11.116
CMAESMCTS, WorkerRush, maps/8x8/FourBasesWorkers8x8.xml, 10.842
CMAESMCTS, WorkerRush, maps/16x16/TwoBasesBarracks16x16.xml, 11.310000000000002
CMAESMCTS, WorkerRush, maps/NoWhereToRun9x8.xml, 10.11
CMAESMCTS, WorkerRush, maps/DoubleGame24x24.xml, 9.504000000000001
CMAESMCTS, WorkerDefense, maps/8x8/basesWorkers8x8A.xml, 11.088
CMAESMCTS, WorkerDefense, maps/16x16/basesWorkers16x16A.xml, 0.0
CMAESMCTS, WorkerDefense, maps/BWDistantResources32x32.xml, 8.931999999999999
CMAESMCTS, WorkerDefense, maps/BroodWar/(4)BloodBath.scmB.xml, 10.894000000000002
CMAESMCTS, WorkerDefense, maps/8x8/FourBasesWorkers8x8.xml, 0.0
CMAESMCTS, WorkerDefense, maps/16x16/TwoBasesBarracks16x16.xml, 4.788
CMAESMCTS, WorkerDefense, maps/NoWhereToRun9x8.xml, 10.431999999999999
CMAESMCTS, WorkerDefense, maps/DoubleGame24x24.xml, 12.096
CMAESMCTS, CoacAI, maps/8x8/basesWorkers8x8A.xml, 0.0
CMAESMCTS, CoacAI, maps/16x16/basesWorkers16x16A.xml, 10.530000000000001
CMAESMCTS, CoacAI, maps/BWDistantResources32x32.xml, 0.0
CMAESMCTS, CoacAI, maps/BroodWar/(4)BloodBath.scmB.xml, 15.267999999999999
CMAESMCTS, CoacAI, maps/8x8/FourBasesWorkers8x8.xml, 0.0
CMAESMCTS, CoacAI, maps/16x16/TwoBasesBarracks16x16.xml, 0.0
CMAESMCTS, CoacAI, maps/NoWhereToRun9x8.xml, 0.0
CMAESMCTS, CoacAI, maps/DoubleGame24x24.xml, 10.836
CMAESMCTS, POLightRush, maps/8x8/basesWorkers8x8A.xml, -14.824000000000002
CMAESMCTS, POLightRush, maps/16x16/basesWorkers16x16A.xml, -14.688000000000002
CMAESMCTS, POLightRush, maps/BWDistantResources32x32.xml, 0.0
CMAESMCTS, POLightRush, maps/BroodWar/(4)BloodBath.scmB.xml, -12.614
CMAESMCTS, POLightRush, maps/8x8/FourBasesWorkers8x8.xml, -13.056000000000001
CMAESMCTS, POLightRush, maps/16x16/TwoBasesBarracks16x16.xml, 0.0
CMAESMCTS, POLightRush, maps/NoWhereToRun9x8.xml, -14.76
CMAESMCTS, POLightRush, maps/DoubleGame24x24.xml, 5.337200000000001
